,sentence,emoji
0,看到这个名字我就想笑,[笑cry]
1,极禹 ❤️#极禹 临界暧昧# 掌机这损sai 幸好被我截图到了,[怒]
2,可是我超级喜欢吃榴莲，甚至以后想去马来西亚，泰国吃到腻,[允悲]
3,今年给老妈买了个红米note11，续航好充电快,[哈哈]
4,期待刘雨昕，好苏的姐姐,[好爱哦]
5,一路走好,[心]
6,真的会想哭,[泪]
7,吴昕这话简直太对了点赞 其实每一个人都想保持最初的纯真和热血。可是，我们总是在慢慢长大的过程，慢慢被磨平了棱角。 但，如果可以选择，我愿永远活的像个孩子。,[打call]
8,咱就是说第二季评分越来越低心里真的没数吗越来越水，看的人上火,[汗]
9,这个导演似乎很没文化的样子，在说什么，想表达什么逻辑混乱,[哆啦A梦害怕]
10,搞快点其他学校，停摆一个多月了，再关禁闭就都毁灭吧，申请谁都不敢给批,[开学季]
11,支持维权 她的视频真的很好看,[开学季]
12,看，看不懂,[允悲]
13,我的评分： 演员谭松韵值得期待。,[星星]
14,厉害啊！我每次洗头发都会掉很多！研究研究怎么做,[报税]
15,之前在便利店买冰棍，换了3次没有低于十块的，自助结账救了我一命 现在只吃5块钱以下的，或者金拱门的甜筒也是不错的选择,[doge]
16,#乌鲁木齐 核酸#病毒与假期如影随形啊 乌鲁木齐,[挖鼻]
17,某酷 你的福气还在后头 有甄嬛传可保你一生荣华富贵,[doge]
18,确实没关，刚从超市购物回来，就是啥啥都用抢的，感觉一会就可以清空下班啦,[嘻嘻]
19,你说6.4那便是6.4吧，反正令我上头难忘的小甜剧，再也没有下一次了,[泪]
20,首先将其狗当她的面活扒皮！其次补交所有孩子医疗费，再次曝光其所在学校，安排人天天拉横幅,[doge]
21,李大为再不回来，就混成头牌了，搞不好会所就成他的了！所长赶紧收网,[笑cry]
22,两年前有幸男朋友爬过一次泰山…日出虽然很壮观，可再也不会去了，真能给人累死 网页链接,[二哈]
23,终于救出来了，向救援人员致敬。,[泪]
24,跌走的基金 他又回来了，相比个股风险优质的基金鲁棒性相对高一些当然也就相对而言,[二哈]
25,对,[打call]
26,平安辽宁,[单身狗]
27,坚持一个月早起 虽然效率不高 全勤奖励自己一个五一懒觉,[doge]
28,饮水机你麻批，糊咖全家都是缝纫机,[微笑]
29,我们小猴紫在横店上下班日常自己个儿就很欢乐了！超喜欢看欢脱紫妹的下班日常！,[举手]
30,我们这边什么时候解封 好馋啊,[苦涩]
31,为黑而黑没意思！打不过就加入吧，一起追好剧多开心,[打call]
32,我来我也行,[doge]
33,能不能别瞎溜人 一看就不会演 我已经是个成熟的韭菜了,[doge]
34,Lisa和大美女安妮参加活动，你远在异国他乡躲在被窝里看着她嫉妒的发狂用尽你毕生所学诅咒她侮辱她，最后还要把自己归为安妮粉丝美其名曰：“看不惯Lisa粉丝拉踩仙女！”,[阴险]
35,看了半天不知道说的那个糊咖是谁快点告诉我我好着急！,[裂开]
36,夹菜,[挖鼻]
37,大哥回去要好好休息,[抱抱]
38,好家伙，csi现实版,[航天员]
39,哪里自由了？昨天去超市看了看，西瓜8块一斤,[苦涩]
40,我的朋友好美,[鼓掌]
41,哇哇哇！还是菲尼克斯啊！！ 期待住了！！！,[哇]
42,谢谢 谢谢 我终于可以看高清版西游记了 猴哥yyds,[doge]
43,原来如此,[喵喵]
44,我他妈思想有问题,[二哈]
45,这不就跟考研的时候，疯狂转发高分喷雾，结果国家线高了,[允悲]
46,小贝脾气和心理素质是真好，面不改色的，小爽都心疼她，气哭了，♂的真的不行,[黑线]
47,刚收到事故通告 就在微博上看到了热搜,[doge]
48,那段真的被笑不活了 牛仔很忙 超级给力 刘教练 一喊 全身充满力量 跳起来,[笑cry]
49,想到我自己也是不懂乱挂号，4月中旬因为胸部起了两个包，去内蒙附院先挂了乳腺外科，医生检查完让挂美容科，我又挂了美容科医生检查完又说让挂皮肤科，然后我又挂了皮肤科,[允悲]
50,出息了，我东终于学会给自己打广告了,[泪]
51,最后也没有亲口说出爱意 致敬缉毒警 为了天下无毒真的牺牲太多,[泪]
52,龚俊唱歌就是好听 俊味仙美美的听歌！循环一上午,[哇]
53,我和我导师，一个不想学一个不想教，不知道算双向奔赴还是双向辜负,[兔子]
54,我想天天在家,[吃惊]
55,感情这些事都是官方为了挡婚卡那些事，真是官方太恶心了，自己单纯emoemo就行了，自己也别去网暴别人了，光头真是打的一手好牌，再不行，自己关服跑路,[doge]
56,真的太痛心了看着家属难过的样子我都忍不住想流泪 希望英雄一路走好，感谢您守护了人民群众生命安全,[泪]
57,你真烂，亏我当初还想去现场看比赛，还好没给你花钱 我没在k甲看到你南京hero我会遗憾的ok？,[吃惊]
58,小羊羊们都可皮了， 只要看到有人经过， 就会跑到跟前来尬舞 ·明净子心·的微博视频,[羞嗒嗒]
59,第二季属实摆烂了，其实刚开始建模微调我没什么意见，可是后面剧情删减非常不合理，完全是在我看了小说的基础上才勉强看懂，可是又改得面目全非，动作设计十分难看，特效就更不用说了，结尾完全不走心，莫名其妙,[摊手]
60,夏日入侵企画 想收两张6月11号广州的🙏,[泪]
61,客观公正的打低分可以接受，真的是不理解恶意打低分的人，整天很闲吗？不喜欢人家还专门搜人家关注人家作品打低分,[笑cry]
62,数列大哥我谢谢你我好不容易把三角函数研究透彻你给我玩这一出连选择题都没有，连一丝安慰都没给我,[泪]
63,能力决定你能做什么 动机决定你做什么 态度决定你做得怎么样 早安~,[太阳]
64,大自然的颜色，神清气爽的感觉,[哈哈]
65,不容易啊，靠刻板印象编一部剧,[太开心]
66,平日里‘禁止雌竞 禁止容貌焦虑 尝试新风格’ 挂在嘴边 怎么到了Lisa这 人家大方露额头参加顶奢宝格丽活动 反倒被辣菜 有些小心思不要太明显了,[春游家族]
67,哇真的好神奇呀 让我很惊讶大家以后一定要记得保管好自己的贵重物品哇 👮🏻♂️很可靠 但也要自己多加注意,[哈哈]
68,三本啥时候出啊,[泪]
69,考的都会！蒙的都对！加油,[可爱]
70,谁来教育？怎么教育？教育别人的人自身过关了吗？是否由行政部门直接负责执行？ 如果这一切都没问题的话，那就放心了 至少不是民间团体来主导了 但……还是有赚钱的机会,[二哈]
71,奇了怪我之前看到好几个在微博上公然发表仇男厌男、打拳恨国言论的女老师被大v挂，结果就没一个处理果然性别是免死金牌,[疑问]
72,文武双全期待(๑• . •๑)小花🌸,[哈哈]
73,能在电影院看到吗求求了,[求关注]
74,这是不爱吃嘛？这是太贵了…一盘虾球88，还没有几个（全味的），一个蒸虾不是最好的差不多200一份，再加上两个凉菜一个凉面，一份饮料..两个人都差不多400块..这算少的，如果你吃好质量的蒸虾…那就另当别论了,[失望]
75,辛苦了辛苦了致敬,[心]
76,幸好我第一年全国卷上岸了，不然本文科生不得淹死在安徽文科的池子里吗,[裂开]
77,要想进小区，请出示48小时核酸检测，健康码，行程码，还得佩戴口罩 ，就问猪哥你哪一项符合了,[笑cry]
78,终于判了啊,[哆啦A梦害怕]
79,呵,[微笑]
80,之前两块钱的绿色心情我还嫌贵 现在三块一根 除了巧乐兹我都不知道该放心的拿别的了,[允悲]
81,服了，这都能zy，我还信了，特意来看看,[跪了]
82,希望今年的西瓜甜一点 便宜一点,[苦涩]
83,刚换13没几个月,[开学季]
84,作为汉教人，可能是太感同身受了，哭了一晚上了，还是缓不过来！她们成为院长，成为公派教师和志愿者，付出了多少努力，是多么地优秀！她们本来是文化交流的使者，是去传播和平的！！！,[泪]
85,有期徒刑俩月了，坐牢还有放风娱乐的呢,[苦涩]
86,看到热搜的一瞬间，我和我麻麻都懵了，云南还有油焖鸡这种东西？,[并不简单]
87,嗯?小奶猫,[doge]
88,太好哭了 最爱自己的永远是家人,[苦涩]
89,祝福小佩顿,[抱抱]
90,#重生之门,[晕]
91,怎么到处都是朴朴们呢,[doge]
92,平凡英雄，致敬。 话说感觉这大哥游泳也不是太顺溜，更加难能可贵啊。东北小伙就是憨厚直爽，啥不说了，点赞。,[心]
93,等我,[doge]
94,还如此帅气呢,[舔屏]
95,我们销售就是努力开发市场好好做业务吧哈哈早日成为销冠,[加油]
96,就是说我苏不能发布开学日期。事不过三，下次开学一定要偷偷开，是不是只要我们开的快，奥密克戎就跟不上我们,[悲伤]
97,五四青年快乐 和白鹿一起奔跑,[送花花]
98,10种实用美观的饺子包法各种节日皆可用还等什么，学起来！ 就喜欢这种有皮有馅儿的食物,[耶]
99,告！！支持王俊凯维权！,[拳头]
100,我焯,[哆啦A梦害怕]
101,状态不好，我就不想吃喝，只想睡觉；摆烂都嫌弃麻烦哈哈哈哈哈；还改变？？？？,[笑cry]
102,我们xyg居然还上了个热搜,[喵喵]
103,【 出炉 广东广西等8省区考生需警惕强降雨】2022年高考即将拉开帷幕，愿你所努力的，最后都能如你所愿 高考期间天气形势如何？哪些地方紫外线很强？考生们需要做什么相应准备？中国天气联合中国气象局公共气象服务中心、教育部教育考试院共同发布2022全国 ...全文,[心]
104,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈点开之前没想到这么好笑老婆好可爱,[打call]
105,毒液1都还没看 哪里可以看1.2啊啊,[允悲]
106,这个建模服装和技能特效都不如往年的开黑节皮肤，现代风和古风融合的很古怪，非常突兀，然后一个御姐的脸穿着一个jk的皮鞋，风格也很突兀，一二技能的特效很脏乱，大招特效的话很寡淡，整个皮肤就像小孩子把好看的衣服全部都叠穿在身上，看似很华丽，实际很脏乱,[允悲]
107,祝你拥有美好的一天～早安！ 遵义,[太阳]
108,我真的坠了非要演影视剧 漫画粉动画党狂怒,[泪]
109,对自己的要求高，是敬业的演员王俊凯！,[哇]
110,我的天,[蜡烛]
111,那只能外星人来找我们了,[doge]
112,#玉无缘 反派#他毁机关那里我以为我看错了…想着果然是自己多年没看小说忘记剧情了，原来不是自己忘记了，而是小说里没这个环节啊 得亏我是好多年前看的小说，要不然也要像原著粉一样忍不了，书剧分离书剧分离，单说这部剧还挺好看的…,[允悲]
113,“征途漫漫并肩走，与你携手”， 新歌坚定又有力量已经在单曲循环了,[好喜欢]
114,抵制电影有了 刘浩存演的《念念相忘》《龙马精神》,[666]
115,性别一换,[doge]
116,不买最省钱,[喵喵]
117,我累了…最后一期都不消停求求你们放过我的综艺吧 蜜桃给霍霍没了 还想把大侦探也霍霍没了吗,[苦涩]
118,啊啊啊啊啊啊啊啊啊感觉这不是在说人话,[笑cry]
119,除了工作时间都不戴路上碰到熟人，熟人表示很高冷，因为压根看不见~,[酷]
120,这说的不就是我嘛？毕业170度 毕业后一年100多度增加 现在800多度了,[微笑]
121,真正的爷青回了ph,[泪]
122,疯狂被cu,好像那种上课被老师点名的样子 .
123,救命啊 一到高考季我就梦到自己还在高三 昨晚梦到自己被语数英老师逮住搞默写什么的 无数的卷子压在那都没做完 整个一吓醒 拜托我都大学毕业快2年了 年年高考年年做噩梦 我要PTSD了,[二哈]
124,一生只做一件事 做好一件事 这就是人民教师的初心吧,[心]
125,他们只是老师啊 只是为了教书育人而且啊 没有武器啊,[泪]
126,我只会写解,[二哈]
127,又一喜剧人从此诞生,[doge]
128,吓一跳 我因为是那个小姑娘,[允悲]
129,老规矩，一个半小时的电影开局先水半小时,[吃瓜]
130,这么浪漫的事，我也想写啊……但是我不知道他在哪里………… 于是把所有的导师感谢了个遍,[悲伤]
